;;; @article{yunetal2015,
;;; 	title={The Korean Corpus of Spontaneous Speech},
;;; 	author={Yun, W., Yoon, K., Park, S., Lee, J., Cho, S., Kang, D., Byun, K., Hahn, H., Kim, J.},
;;; 	journal={Journal of the Korean Society of Speech Sciences},
;;; 	volume={7(2)},
;;; 	pages={103–109},
;;; 	year={2015},
;;; 	publisher={}
;;; }
ㄱㅏㄲㅏㅝㅅㅓ	g a kk a w eo s eo
ㄱㅏㄲㅏㅝㅅㅓ	g a kk eo w eo s eo
ㄱㅏㄲㅏㅝㅆㄱㅗ	g a kk a w eo kk o
ㄱㅏㄲㅏㅝㅆㅡㄴㅣㄲㅏ	g a kk a w eo ss eu n i kk a
ㄱㅏㄲㅏㅝㅈㅕㅆㅈㅛ	g a kk eo w eo j eo jj eo
ㄱㅏㄲㅏㅝㅈㅣㄱㅔ	g a kk a w eo j i g e
ㄱㅏㄲㅏㅝㅈㅣㄴㅡㄴ	g a kk a w a j i n eu NG
ㄱㅏㄲㅏㅝㅈㅣㄴㅡㄴ	g a kk a w eo j i n eu N
ㄱㅏㄲㅏㅝㅈㅣㄴㅡㄴ	g a kk a w eo j i n eu NG
ㄱㅏㄲㅏㅝㅈㅣㄹㅅㅜㄹㅗㄱ	g a kk a eo j i ss u r u K
ㄱㅏㄲㅏㅝㅈㅣㄹㅏㄱㅗ	g a kk eo w eo j i r a g o
ㄱㅏㄲㅏㅝㅛ	g a kk a w eo y eo
ㄱㅏㄲㅏㅣ	g a kk a i
ㄱㅏㄲㅏㅣ	k a kk a i
ㄱㅏㄲㅏㅣㄱㅏ	g a kk a i g a
ㄱㅏㄲㅏㅣㄴㅡㄴ	g a kk a i n eu
ㄱㅏㄲㅏㅣㅔ	g a kk a i e
ㄱㅏㄲㅜㄱㅗ	g a kk u g o
ㄱㅏㄲㅜㄱㅗ	g a kk u g u
ㄱㅏㄲㅜㅅㅕㅅㅓ	g a kk u s y eo s eo
ㄱㅏㄲㅝㅑ	g a kk eo a
ㄱㅏㄲㅡㅁ	g a kk eu
ㄱㅏㄲㅡㅁ	g a kk eu M
ㄱㅏㄲㅡㅁ	g a kk eu NG
ㄱㅏㄲㅡㅁ	kk a kk eu M
ㄱㅏㄲㅡㅁㄱㅏㄷㅏ	g a kk eu NG g a d a
ㄱㅏㄲㅡㅁㄱㅏㄷㅏㄴㅡㄴ	g a kk eu NG g a d a n eu N
ㄱㅏㄲㅡㅁㅆㅣㄱ	g a kk eu M s i M
ㄱㅏㄲㅡㅁㅆㅣㄱ	g a kk eu M ss i
ㄱㅏㄲㅡㅁㅆㅣㄱ	g a kk eu M ss i K
ㄱㅏㄲㅡㅁㅆㅣㄱ	g a kk eu M ss i NG
ㄱㅏㄲㅡㅁㅆㅣㄱㅡㄴ	g a kk eu M ss i g eu N
ㄱㅏㄲㅡㅁㅆㅣㄱㅡㄴ	g a kk eu M ss i g eu NG
ㄱㅏㄲㅡㅁㅆㅣㄱㅣㅛ	g a kk eu M ss i g i y eo
ㄱㅏㄲㅡㅁㅡㄴ	g a kk eu M m eu N
ㄱㅏㄲㅡㅁㅡㄴ	g a kk eu m eu
ㄱㅏㄲㅡㅁㅡㄴ	g a kk eu m eu N
ㄱㅏㄲㅡㅁㅣㅛ	g a kk eu m i y eo
ㄱㅏㄴ	a
ㄱㅏㄴ	a N
ㄱㅏㄴ	a NG
ㄱㅏㄴ	g a N
ㄱㅏㄴ	g a NG
ㄱㅏㄴ	kk a N
ㄱㅏㄴ	kk a NG
ㄱㅏㄴㄱㅏㄴㅣ	g a NG g a n i
ㄱㅏㄴㄱㅕㄱㅣ	g a NG g y eo g i
ㄱㅏㄴㄴㅏㄴ	kk a N n a N
ㄱㅏㄴㄷㅏ	g a N d a
ㄱㅏㄴㄷㅏ	kk a N d a
ㄱㅏㄴㄷㅏㄱㅓㄴㅏ	g a N d a g eo n a
ㄱㅏㄴㄷㅏㄱㅗ	g a N d a g o
ㄱㅏㄴㄷㅏㄱㅗ	g a N d a g u
ㄱㅏㄴㄷㅏㄱㅗ	g a N d a u
ㄱㅏㄴㄷㅏㄱㅗㅛ	g a N d a g o y eo
ㄱㅏㄴㄷㅏㄴ	g a N d a N
ㄱㅏㄴㄷㅏㄴㅎㅏㄱㅔ	g a N d a n a g e
ㄱㅏㄴㄷㅏㄴㅎㅏㄱㅔ	g a N tt a n a g e
ㄱㅏㄴㄷㅏㄴㅎㅏㄴ	g a N d a n a N
ㄱㅏㄴㄷㅏㄴㅎㅏㄴ	g a N d a n a NG
ㄱㅏㄴㄷㅏㄴㅎㅏㄴ	g a N tt a n a
ㄱㅏㄴㄷㅏㄴㅎㅏㄴ	g a N tt a n a M
ㄱㅏㄴㄷㅏㄴㅎㅏㄴ	g a N tt a n a N
ㄱㅏㄴㄷㅏㄴㅎㅏㄴ	g a N tt a n a NG
ㄱㅏㄴㄷㅏㄴㅎㅏㅁㅕㄴㅅㅓㄷㅗ	g a N tt a n a m y eo N s eo d u
ㄱㅏㄴㄷㅏㄴㅎㅏㅈㅣㄴ	g a N tt a n a j i N
ㄱㅏㄴㄷㅏㄴㅡㄴ	g a N d a N
ㄱㅏㄴㄷㅏㄴㅡㄴ	g a N d a n eu N
ㄱㅏㄴㄷㅏㄴㅡㄴ	g a N d a n eu NG
ㄱㅏㄴㄷㅏㄴㅡㄴㄷㅔ	g a N d a n eu N d e
ㄱㅏㄴㄷㅏㄴㅡㄴㅎㅕ	g a N d a n eu N h y eo
ㄱㅏㄴㄷㅏㄷㅓㄴㅈㅣ	g a N d a d eo N j i
ㄱㅏㄴㄷㅏㄷㅓㄹㅏㄱㅗㅛ	g a N d a d eo r a g u y eo
ㄱㅏㄴㄷㅏㄷㅡㄴㄱㅏ	g a N d a d eu NG eo
ㄱㅏㄴㄷㅏㄷㅡㄴㄱㅏ	g a N d a d eu NG g a
ㄱㅏㄴㄷㅏㄷㅡㄴㅈㅣ	g a N d a d eo N j i
ㄱㅏㄴㄷㅏㄹㅏㄴㅡㄴ	g a N d a r a n eu M
ㄱㅏㄴㄷㅏㅁ	g a N d a M
ㄱㅏㄴㄷㅏㅁㅕㄴ	g a N d a m y eo n eu N
ㄱㅏㄴㄷㅏㅇㄱㅏㄴㄷㅏㅇ	g a N d a NG g a N d a NG
ㄱㅏㄴㄷㅏㅇㄱㅏㄴㄷㅏㅇ	g a N t a NG a N d a NG
ㄱㅏㄴㄷㅔㄱㅓㄴㅏ	g a N d e g eo n a
ㄱㅏㄴㄷㅔㅛ	g a N d e y eo
ㄱㅏㄴㅁㅏㄴㅢ	g a M m a n e
ㄱㅏㄴㅂㅜㄱㅡㅂ	g a M b u kk eu P
ㄱㅏㄴㅅㅓㅂㅎㅏㄹ	g a N s eo p a L
ㄱㅏㄴㅅㅓㅂㅎㅕㄴㅅㅏㅇㅣ	g a N s eo P h y eo N s a NG i
ㄱㅏㄴㅅㅗㅎㅏㄱㅔ	g a N s o a g e
ㄱㅏㄴㅅㅜㄱㅏ	g a N s u g a
ㄱㅏㄴㅅㅣㄱ	g a N s i K
